,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
427,output52_ligand210_2023-11-21-14:35,-8.231,2.845600000000002,432.382812156,1.100617393240147,[23.87390586 43.60882878 29.31565639]
428,output417_ligand405_2023-11-21-14:35,-8.228,5.425800000000007,376.34536402799995,1.1375499541399487,[28.62935853 29.37752736 31.10858336]
429,output52_ligand496_2023-11-21-14:35,-8.227,4.571700000000003,540.339707268,1.175664594046529,[29.74118899 47.22643946 30.18716454]
430,output44_ligand293_2023-11-21-14:35,-8.226,2.034600000000001,405.38314650399997,1.6593431918038093,[37.35817517 45.20500345 25.72232598]
431,output417_ligand277_2023-11-21-14:35,-8.226,6.980900000000009,428.41304966399997,1.2525490447172136,[36.09685079 30.56444444 26.14782836]
432,output413_ligand424_2023-11-21-14:35,-8.226,3.6171000000000024,333.31439824800003,1.4349981207506959,[31.86324881 43.61901668 27.8722335 ]
433,output413_ligand420_2023-11-21-14:35,-8.223,-5.2013999999999845,894.4460446400003,1.2071590425151568,[31.07623028 27.55427707 45.23550707]
434,output12_ligand865_2023-11-21-14:35,-8.223,1.7385999999999995,366.288243076,1.5055908317828186,[41.13880328 27.01530765 46.28845727]
435,output44_ligand452_2023-11-21-14:35,-8.22,0.0,0.0,0.0,"[0, 0, 0]"
436,output12_ligand282_2023-11-21-14:35,-8.219,3.3331000000000017,452.3083103800899,1.1452534534335295,[39.15861462 30.40494522 26.02585826]
437,output417_ligand375_2023-11-21-14:35,-8.219,4.548900000000003,548.418922892,1.0919277645571062,[35.82976171 31.36555888 26.71542955]
438,output52_ligand465_2023-11-21-14:35,-8.218,2.9878,496.33347901599996,1.2834968120287844,[26.29414789 45.47627486 32.30796595]
439,output52_ligand115_2023-11-21-14:35,-8.215,3.4501000000000017,379.308644172,1.4451246421710957,[27.76116212 44.41594559 30.32660785]
440,output44_ligand142_2023-11-21-14:35,-8.214,1.4897999999999998,281.246712612,1.4950823344892419,[33.88278291 43.60399914 27.4166504 ]
441,output52_ligand824_2023-11-21-14:35,-8.213,1.0102000000000042,492.415174904,1.000781624054973,[31.94668019 46.48247166 30.24785461]
442,output52_ligand567_2023-11-21-14:35,-8.212,2.567800000000001,284.198759376,1.5423941353377244,[26.05635396 43.3283053  31.78196412]
443,output12_ligand841_2023-11-21-14:35,-8.212,4.896900000000005,544.47162716,1.1003928337814246,[30.76832332 46.65764429 30.44369597]
444,output52_ligand127_2023-11-21-14:35,-8.211,0.0,0.0,0.0,"[0, 0, 0]"
445,output44_ligand740_2023-11-21-14:35,-8.209,1.2349000000000012,363.299810804,1.021128823226428,[35.36966836 45.33899231 28.40830512]
446,output26_ligand301_2023-11-21-14:35,-8.207,1.1207000000000036,457.32641947600007,1.0936771763351445,[24.65481095 42.54765009 31.63616741]
447,output44_ligand547_2023-11-21-14:35,-8.206,5.549500000000008,561.46258485209,1.2815320975961961,[33.50303842 45.44641352 28.02877457]
448,output417_ligand61_2023-11-21-14:35,-8.206,3.3027000000000006,495.34946342800004,1.1425015295099963,[34.60903929 30.99901925 28.67860675]
449,output44_ligand150_2023-11-21-14:35,-8.205,2.895900000000002,569.3862428599999,1.1969797211292128,[33.71173445 45.80773848 28.93773268]
450,output44_ligand367_2023-11-21-14:35,-8.204,3.871100000000002,462.258599824,1.188790390996128,[35.52594409 46.18805587 28.39121551]
451,output26_ligand419_2023-11-21-14:35,-8.203,-5.2013999999999845,894.4460446400003,1.2071590425151568,[29.44765232 30.9488199  30.92271399]
452,output44_ligand795_2023-11-21-14:35,-8.203,6.39550000000001,460.3916455239999,1.5518843667368922,[37.96039415 45.4765393  24.71478491]
