,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
1950,output52_ligand899_2023-11-22-15:52,-7.01661205,-0.47290000000000043,216.1473925,1.9142649313934055,[27.1153308  42.88109087 32.2076673 ]
1951,output417_ligand402_2023-11-22-15:52,-7.01601791,0.8458000000000021,419.25439740799993,1.368217716084915,[34.13448692 48.68834241 26.67453815]
1952,output413_ligand143_2023-11-22-15:52,-7.01589394,-1.597399999999996,326.23069366017995,1.2165720750907902,[32.76228405 44.74735393 29.00700499]
1953,output52_ligand727_2023-11-22-15:52,-7.0154748,-6.295800000000007,467.259127764,1.6991706468763763,[28.56210201 46.70516334 32.7578494 ]
1954,output44_ligand827_2023-11-22-15:52,-7.01527739,1.9959,239.18852904,1.516593378888542,[32.4716057  44.05496285 28.48444401]
1955,output413_ligand180_2023-11-22-15:52,-7.01524925,3.345300000000002,398.30322444399997,1.6230804296417718,[31.12822808 44.72565305 29.49434018]
1956,output26_ligand540_2023-11-22-15:52,-7.01512194,2.117000000000001,296.246378264,1.642867717042636,[29.06568348 44.56993257 31.17028662]
1957,output44_ligand260_2023-11-22-15:52,-7.01503897,1.0907999999999998,256.167459248,1.6376423964764453,[37.40026769 45.02844251 27.54030847]
1958,output52_ligand518_2023-11-22-15:52,-7.01295567,3.185100000000002,329.177805488,1.8291704842532832,[28.87585338 46.90599469 33.41110915]
1959,output413_ligand568_2023-11-22-15:52,-7.01189566,2.7316000000000003,422.20041207599996,1.9125634792387336,[35.42230031 47.24801838 29.75958215]
1960,output44_ligand30_2023-11-22-15:52,-7.01188707,-1.9872999999999978,281.244587968,1.6856113995025348,[33.08787674 44.51055029 28.69947659]
1961,output26_ligand317_2023-11-22-15:52,-7.01183748,1.355499999999999,302.17764707199996,1.4823874466719082,[31.3242006  45.68061269 30.65114357]
1962,output12_ligand511_2023-11-22-15:52,-7.01102066,-2.720599999999992,476.25373135608993,1.3215056762708737,[32.05772311 47.81880312 29.66473728]
1963,output12_ligand187_2023-11-22-15:52,-7.01078987,3.3803000000000027,392.30326533199997,1.0564673540908318,[34.97540357 46.28507982 27.30874248]
1964,output44_ligand746_2023-11-22-15:52,-7.01055384,2.674500000000001,269.235479232,2.073070070767489,[35.45159919 44.28121545 26.95888258]
1965,output26_ligand357_2023-11-22-15:52,-7.00964165,2.3972000000000007,452.30503601199996,1.3273370650450476,[33.44731751 46.67832603 26.41278017]
1966,output26_ligand96_2023-11-22-15:52,-7.00916481,1.4694999999999998,238.204513452,1.8448487489794019,[29.21754286 43.99083062 30.07383251]
1967,output44_ligand23_2023-11-22-15:52,-7.00759172,0.8338999999999994,316.188588616,1.4741879235506894,[35.90605007 45.4761042  28.62461093]
1968,output26_ligand103_2023-11-22-15:52,-7.00696516,0.0,0.0,0.0,"[0, 0, 0]"
1969,output52_ligand202_2023-11-22-15:52,-7.00639439,0.0,0.0,0.0,"[0, 0, 0]"
1970,output413_ligand659_2023-11-22-15:52,-7.00607109,4.473100000000005,426.3345245719999,1.7054337787592473,[30.65441625 45.04082506 28.6385948 ]
1971,output413_ligand959_2023-11-22-15:52,-7.00562,2.1867,284.162373868,1.8172817323754271,[29.56267404 45.15267646 31.22439751]
1972,output413_ligand81_2023-11-22-15:52,-7.00561285,4.559000000000005,386.242555836,1.385933435528396,[34.47056505 45.36035239 28.67056779]
1973,output12_ligand548_2023-11-22-15:52,-7.00557709,2.991700000000001,269.181335484,1.8486314304100566,[30.38744606 44.92980426 30.56991385]
